ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 3000 Accuracy: 91.8 learning rate: 0.0040225605
Training step: 3100 Accuracy: 89.9 learning rate: 0.0040185195
Training step: 3200 Accuracy: 93.5 learning rate: 0.004014483
Training step: 3300 Accuracy: 92.0 learning rate: 0.0040104506
Training step: 3400 Accuracy: 93.30000000000001 learning rate: 0.0040064217
Training step: 3500 Accuracy: 93.60000000000001 learning rate: 0.0040023974
Training step: 3600 Accuracy: 84.5 learning rate: 0.0039983764
Training step: 3700 Accuracy: 93.0 learning rate: 0.00399436
Training step: 3800 Accuracy: 90.60000000000001 learning rate: 0.003990348
Training step: 3900 Accuracy: 92.7 learning rate: 0.0039863396
Training step: 4000 Accuracy: 91.4 learning rate: 0.003982335
Training step: 4100 Accuracy: 94.1 learning rate: 0.0039783344
Training step: 4200 Accuracy: 94.6 learning rate: 0.0039743385
Training step: 4300 Accuracy: 86.3 learning rate: 0.003970346
Training step: 4400 Accuracy: 90.3 learning rate: 0.0039663576
Training step: 4500 Accuracy: 93.30000000000001 learning rate: 0.0039623734
Training step: 4600 Accuracy: 92.2 learning rate: 0.003958393
Training step: 4700 Accuracy: 93.10000000000001 learning rate: 0.0039544166
Training step: 4800 Accuracy: 92.4 learning rate: 0.0039504445
Training step: 4900 Accuracy: 92.2 learning rate: 0.003946476
Training step: 5000 Accuracy: 88.3 learning rate: 0.0039425115
Training step: 5100 Accuracy: 90.10000000000001 learning rate: 0.0039385515
Training step: 5200 Accuracy: 90.9 learning rate: 0.003934595
Training step: 5300 Accuracy: 93.30000000000001 learning rate: 0.0039306427
Training step: 5400 Accuracy: 81.6 learning rate: 0.003926694
Training step: 5500 Accuracy: 91.9 learning rate: 0.00392275
Training step: 5600 Accuracy: 92.2 learning rate: 0.0039188094
Training step: 5700 Accuracy: 93.30000000000001 learning rate: 0.0039148727
Training step: 5800 Accuracy: 92.7 learning rate: 0.0039109397
Training step: 5900 Accuracy: 94.6 learning rate: 0.0039070114
Training step: 6000 Accuracy: 92.7 learning rate: 0.0039030868
Training step: 6100 Accuracy: 93.5 learning rate: 0.003899166
Training step: 6200 Accuracy: 92.7 learning rate: 0.003895249
Training step: 6300 Accuracy: 83.6 learning rate: 0.0038913363
Training step: 6400 Accuracy: 92.5 learning rate: 0.0038874273
Training step: 6500 Accuracy: 93.5 learning rate: 0.003883522
Training step: 6600 Accuracy: 86.7 learning rate: 0.003879621
Training step: 6700 Accuracy: 91.4 learning rate: 0.003875724
Training step: 6800 Accuracy: 92.5 learning rate: 0.0038718306
Training step: 6900 Accuracy: 92.5 learning rate: 0.0038679414
Training step: 7000 Accuracy: 94.1 learning rate: 0.0038640557
Training step: 7100 Accuracy: 94.89999999999999 learning rate: 0.0038601744
Training step: 7200 Accuracy: 94.5 learning rate: 0.0038562967
Training step: 7300 Accuracy: 94.89999999999999 learning rate: 0.0038524228
Training step: 7400 Accuracy: 93.2 learning rate: 0.003848553
Training step: 7500 Accuracy: 94.3 learning rate: 0.003844687
Training step: 7600 Accuracy: 94.69999999999999 learning rate: 0.0038408248
Training step: 7700 Accuracy: 90.0 learning rate: 0.0038369666
Training step: 7800 Accuracy: 92.60000000000001 learning rate: 0.0038331123
Training step: 7900 Accuracy: 91.8 learning rate: 0.003829262
Training step: 8000 Accuracy: 92.9 learning rate: 0.0038254154
Training step: 8100 Accuracy: 92.60000000000001 learning rate: 0.0038215725
Training step: 8200 Accuracy: 92.0 learning rate: 0.0038177338
Training step: 8300 Accuracy: 89.60000000000001 learning rate: 0.003813899
Training step: 8400 Accuracy: 86.9 learning rate: 0.0038100674
Training step: 8500 Accuracy: 92.30000000000001 learning rate: 0.0038062402
Training step: 8600 Accuracy: 92.80000000000001 learning rate: 0.0038024166
Training step: 8700 Accuracy: 92.80000000000001 learning rate: 0.003798597
Training step: 8800 Accuracy: 92.60000000000001 learning rate: 0.0037947812
Training step: 8900 Accuracy: 89.9 learning rate: 0.0037909695
Training step: 9000 Accuracy: 93.2 learning rate: 0.003787161
Training step: 9100 Accuracy: 91.60000000000001 learning rate: 0.0037833569
Training step: 9200 Accuracy: 88.5 learning rate: 0.0037795564
Training step: 9300 Accuracy: 92.0 learning rate: 0.0037757598
Training step: 9400 Accuracy: 94.89999999999999 learning rate: 0.003771967
Training step: 9500 Accuracy: 94.39999999999999 learning rate: 0.003768178
Training step: 9600 Accuracy: 94.3 learning rate: 0.0037643926
Training step: 9700 Accuracy: 92.5 learning rate: 0.003760611
Training step: 9800 Accuracy: 90.2 learning rate: 0.0037568335
Training step: 9900 Accuracy: 92.5 learning rate: 0.0037530598
Training step: 10000 Accuracy: 92.30000000000001 learning rate: 0.0037492898
Training step: 10100 Accuracy: 94.3 learning rate: 0.0037455233
Training step: 10200 Accuracy: 93.7 learning rate: 0.0037417607
Training step: 10300 Accuracy: 94.3 learning rate: 0.0037380022
Training step: 10400 Accuracy: 93.8 learning rate: 0.0037342473
Training step: 10500 Accuracy: 94.0 learning rate: 0.0037304962
Training step: 10600 Accuracy: 92.10000000000001 learning rate: 0.0037267487
Training step: 10700 Accuracy: 93.0 learning rate: 0.003723005
Training step: 10800 Accuracy: 94.39999999999999 learning rate: 0.003719265
Training step: 10900 Accuracy: 93.30000000000001 learning rate: 0.003715529
Training step: 11000 Accuracy: 85.5 learning rate: 0.0037117966
Training step: 11100 Accuracy: 94.3 learning rate: 0.003708068
